iso3,source,scenario,pop_year,first_pop_total,second_pop_total,pop_total_abs_change,pop_total_pct_change,first_pop_inside_all,second_pop_inside_all,pop_inside_all_abs_change,pop_inside_all_pct_change,first_pop_inside_or_10km_all,second_pop_inside_or_10km_all,pop_inside_or_10km_all_abs_change,pop_inside_or_10km_all_pct_change,first_area_inside_all,second_area_inside_all,area_inside_all_abs_change,area_inside_all_pct_change,first_area_inside_or_10km_all,second_area_inside_or_10km_all,area_inside_or_10km_all_abs_change,area_inside_or_10km_all_pct_change,first_count_strict,second_count_strict,first_count_nonstrict,second_count_nonstrict,first_count_unknowncat,second_count_unknowncat
VUT,WP,Unknown_Year,2020,188278.8703231819,263039.2978515625,74760.42752838059,39.70728494389935,1000.9437498839284,1168.8662185668945,167.92246868296616,16.77641412940925,83691.53470632197,105344.0323562622,21652.49764994024,25.871789453879657,398.0690248337885,398.0476818084717,-0.02134302531680987,-0.005361639310097421,2821.2551235941364,2695.1843700408936,-126.07075355324287,-4.468605214002593,0,0,0,0,3,3
YEM,WP,Confirmed_2000,2000,14946287.290291786,17415583.27734375,2469295.987051964,16.521132901385286,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
YEM,WP,Confirmed_2020,2020,25896178.724514853,30173288.1796875,4277109.455172647,16.516372939315875,41846.02584923811,49162.2578125,7316.231963261889,17.48369603751773,57959.99680447956,68069.4453125,10109.44850802044,17.44211363938362,2764.7223804387863,2799.98486328125,35.26248284246367,1.2754438959931738,3706.0906883128678,3759.3502807617188,53.25959244885098,1.4370828165863494,0,0,0,0,1,1
YEM,WP,Unknown_Year,2020,25896178.724514857,30173288.1796875,4277109.455172643,16.51637293931586,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
ZWE,WP,Confirmed_2000,2000,9774962.85165395,11347964.375,1573001.5233460497,16.092148351028197,261224.96009474326,314346.9305419922,53121.970447248925,20.33571770017008,1568777.0382045505,1585536.1833357709,16759.145131220343,1.068293627652851,47064.904130466,48933.627091646194,1868.7229611801959,3.9705232501908707,108904.2271362258,99516.0263484343,-9388.200787791502,-8.620602739366596,11,5,14,12,23,17
ZWE,WP,Confirmed_2020,2020,12351263.25184791,14328623.3125,1977360.0606520902,16.009375076320648,722689.063539407,882946.5065536499,160257.44301424292,22.175158183434217,4381885.6855750885,4712429.25655365,330543.5709785614,7.543409269362995,74929.22207595961,78498.67110943794,3569.449033478333,4.76376096612854,160535.1771798522,151265.58576703072,-9269.591412821494,-5.774180821712678,11,5,14,12,71,64
ZWE,WP,Unknown_Year,2020,12351263.251847912,14328623.3125,1977360.0606520884,16.00937507632063,109384.6358487907,126091.88114929199,16707.245300501294,15.273850089510537,798749.8874538868,749506.8381614685,-49243.04929241829,-6.165014864588782,7235.418125490206,7177.0107679367065,-58.40735755349942,-0.8072423257438529,28325.64221941788,22027.81039750576,-6297.831821912121,-22.233677080037435,0,0,2,1,8,8
AFG,GHSL,All_2020,2020,38783236.95850113,38895579.90625,112342.94774886966,0.28966882746037664,425604.49557171715,397153.02525520325,-28451.470316513907,-6.684955307695909,5784592.928978026,5157957.718492508,-626635.210485518,-10.832831595571353,21489.625897578488,21797.70937895775,308.0834813792608,1.433638178940921,40128.444287665414,35334.91454863548,-4793.529739029931,-11.945466175232104,5,2,2,2,2,0
AGO,GHSL,All_2020,2020,33358318.650916047,33354493.75,-3824.9009160473943,-0.011466108217484634,576095.7487329142,575221.2513427734,-874.4973901407793,-0.15179723024587152,1329803.7406144307,1048831.2554137707,-280972.48520066007,-21.12886861566789,82234.08568841394,82205.51104819402,-28.574640219914727,-0.03474792718944359,139063.88538216686,119739.54528891668,-19324.340093250183,-13.896016237532995,3,2,2,2,11,0
BEN,GHSL,All_2020,2020,12348692.15054881,12442913.1875,94221.03695118986,0.7630041773047392,212429.51697776673,211012.82015419006,-1416.696823576669,-0.6669020594369394,3190550.837572626,1961271.2089481354,-1229279.6286244905,-38.52875855003544,24355.339006032103,24729.501531362534,374.16252533043007,1.536264903714791,65627.32184239113,55578.393743276596,-10048.928099114535,-15.312110592060696,5,2,4,2,15,10
